city,timestamp,PM25,PM10,SO2,NO2,CO,O3,temperature,humidity,wind_speed,AQI
beijing,2025-08-30 00:00:00,51.1,57.2,60.9,61.3,2.279,14.0,21.5,94,1.1944444444444444,77
beijing,2025-08-30 01:00:00,55.9,61.7,59.5,60.4,2.132,31.0,22.0,96,0.16666666666666666,76
beijing,2025-08-30 02:00:00,50.5,55.6,57.3,58.9,1.997,55.0,23.0,93,0.8611111111111112,74
beijing,2025-08-30 03:00:00,46.3,51.3,54.1,56.0,1.797,77.0,25.2,84,1.2777777777777777,70
beijing,2025-08-30 04:00:00,43.5,49.8,48.9,49.8,1.436,96.0,26.7,78,1.3611111111111112,62
beijing,2025-08-30 05:00:00,41.9,50.2,42.7,42.3,1.01,114.0,27.9,71,1.972222222222222,59
beijing,2025-08-30 06:00:00,39.5,50.1,38.0,38.7,0.74,123.0,28.8,62,1.9444444444444444,56
beijing,2025-08-30 07:00:00,38.1,50.1,35.5,40.1,0.747,122.0,28.7,61,1.9444444444444444,54
beijing,2025-08-30 08:00:00,38.9,51.3,34.6,45.4,0.909,114.0,28.0,64,2.5833333333333335,57
beijing,2025-08-30 09:00:00,40.4,52.6,35.8,56.5,1.076,97.0,27.3,70,2.4166666666666665,71
beijing,2025-08-30 10:00:00,54.2,64.3,40.3,79.1,1.222,66.0,26.7,74,1.75,99
beijing,2025-08-30 11:00:00,76.8,85.9,46.8,107.5,1.371,28.0,26.0,78,1.6388888888888888,114
beijing,2025-08-30 12:00:00,88.7,96.2,52.8,120.6,1.452,0.0,25.4,81,1.75,120
beijing,2025-08-30 13:00:00,93.6,100.8,56.6,117.6,1.409,0.0,25.1,80,1.8888888888888888,123
beijing,2025-08-30 14:00:00,100.6,107.6,61.6,113.3,1.297,0.0,24.5,82,1.8611111111111112,132
beijing,2025-08-30 15:00:00,104.3,110.8,64.7,109.0,1.203,0.0,24.0,84,1.5,137
beijing,2025-08-30 16:00:00,101.3,107.3,64.1,105.4,1.142,0.0,23.4,86,0.8611111111111112,133
beijing,2025-08-30 17:00:00,96.2,101.7,61.5,101.9,1.1,0.0,23.0,89,0.41666666666666663,126
beijing,2025-08-30 18:00:00,95.0,99.9,58.3,97.8,1.122,0.0,22.7,89,0.16666666666666666,125
beijing,2025-08-30 19:00:00,96.9,101.5,53.7,92.1,1.257,0.0,22.7,88,1.0555555555555556,127
beijing,2025-08-30 20:00:00,101.0,105.0,48.6,85.8,1.456,0.0,22.1,92,1.75,132
beijing,2025-08-30 21:00:00,103.1,106.9,46.3,81.3,1.615,0.0,21.7,94,0.16666666666666666,135
